# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
3AT1	AT1G03940	AT1G03940.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
3AT2	AT1G03495	AT1G03495.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3BETAHSD/D3	AT2G43420	AT2G43420.1	protein_coding	0	1	1	4	0	0	0	0	1	1	0	0	0	1	0	0	0	4
4CLL2	AT1G20480	AT1G20480.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4CLL6	AT4G19010	AT4G19010.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
5FCL	AT5G13050	AT5G13050.1	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0
5FCL	AT5G13050	AT5G13050.2	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0
5PTASE12	AT2G43900	AT2G43900.1	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
5PTASE14	AT2G31830	AT2G31830.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5PTASE14	AT2G31830	AT2G31830.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A3	AT1G07920	AT1G07920.1	protein_coding	0	3	0	5	0	0	0	5	0	0	0	0	0	0	0	0	3	0
A3	AT1G07930	AT1G07930.1	protein_coding	0	4	1	3	0	0	0	0	0	1	0	0	0	0	0	0	4	3
A3	AT1G07930	AT1G07930.2	protein_coding	0	4	0	4	0	0	0	0	1	0	0	0	0	0	0	0	4	3
A3	AT1G07940	AT1G07940.1	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0
A3	AT1G07940	AT1G07940.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0
AAAS	AT3G56900	AT3G56900.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAC3	AT4G28390	AT4G28390.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AAE15	AT4G14070	AT4G14070.1	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
AAE18	AT1G55320	AT1G55320.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AAE18	AT1G55320	AT1G55320.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AAE5	AT5G16370	AT5G16370.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AAK6	AT5G60340	AT5G60340.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
